Transaction Date,Post Date,Description,Category,Type,Amount,Memo
07/13/2026,07/16/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
07/15/2026,07/16/2026,FACEBK *CYZDAU9W62,Professional Services,Sale,-46.53,
07/14/2026,07/15/2026,SAINSBURYS S/MKTS,Groceries,Sale,-12.54,
07/13/2026,07/14/2026,FACEBK *Y6EK5UDW62,Professional Services,Sale,-46.53,
07/13/2026,07/14/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.18,
07/13/2026,07/14/2026,LYFT   *1 RIDE 07-12,Travel,Sale,-39.91,
07/09/2026,07/13/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
07/12/2026,07/13/2026,DOMINO'S 4317,Food & Drink,Sale,-11.04,
07/09/2026,07/12/2026,UBER   *TRIP,Travel,Sale,-21.37,
07/10/2026,07/12/2026,SQ *BUNS FROM HOME - SLOA,Groceries,Sale,-19.98,
07/11/2026,07/12/2026,JOHN LEWIS STORES,Shopping,Sale,-10.08,
07/11/2026,07/12/2026,FACEBK *ZXBZNTVV62,Professional Services,Sale,-46.53,
07/10/2026,07/10/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-20.00,
07/08/2026,07/09/2026,DOMINO'S 4317,Food & Drink,Sale,-11.87,
07/08/2026,07/09/2026,SAINSBURYS S/MKTS,Groceries,Sale,-6.26,
07/09/2026,07/09/2026,FACEBK *VH87LUDV62,Professional Services,Sale,-46.52,
07/07/2026,07/07/2026,FACEBK *9DHXSUHV62,Professional Services,Sale,-4.17,
07/06/2026,07/07/2026,FACEBK *6AST7TVV62,Professional Services,Sale,-46.51,
07/05/2026,07/06/2026,TST* POPUP BAGELS - WASHI,Food & Drink,Sale,-16.50,
07/04/2026,07/05/2026,FACEBK *EG6Q5UDV62,Professional Services,Sale,-46.51,
07/05/2026,07/05/2026,DELIVEROO,Food & Drink,Sale,-19.30,
07/02/2026,07/03/2026,FACEBK *UNFHUUMV62,Professional Services,Sale,-46.51,
07/02/2026,07/02/2026,Payment Thank You-Mobile,,Payment,1000.00,
06/28/2026,07/02/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
07/01/2026,07/01/2026,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
07/01/2026,07/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,1099.93,
06/30/2026,07/01/2026,FACEBK *H9U2MUMV62,Professional Services,Sale,-46.51,
06/28/2026,06/29/2026,ANNUAL HOTEL CREDIT,,Adjustment,-100.00,
06/21/2026,06/29/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
06/21/2026,06/29/2026,$10 PAZE CREDIT,Fees & Adjustments,Adjustment,10.00,
06/28/2026,06/29/2026,FACEBK *6XTLUTHV62,Professional Services,Sale,-46.50,
06/28/2026,06/29/2026,PARK GELL,Entertainment,Sale,-41.17,
06/28/2026,06/29/2026,SAGRADA FAMILIA WEB B2C,Gifts & Donations,Sale,-57.18,
06/28/2026,06/29/2026,TOWN BARBERSHOP,Personal,Sale,-26.00,
06/26/2026,06/28/2026,CL *Chase Travel,Travel,Return,396.89,
06/26/2026,06/28/2026,CL *Chase Travel,Travel,Sale,-232.82,
06/26/2026,06/28/2026,PDR - PETER JONES,Food & Drink,Sale,-1.26,
06/27/2026,06/28/2026,DOMINO'S 4317,Food & Drink,Sale,-11.87,
06/25/2026,06/26/2026,FACEBK *BVTQ7S9W62,Professional Services,Sale,-46.50,
06/24/2026,06/24/2026,ANNUAL HOTEL CREDIT,Fees & Adjustments,Adjustment,100.00,
06/23/2026,06/24/2026,WIYGUL AUTOMOTIVE CLINIC,Automotive,Sale,-106.87,
06/23/2026,06/24/2026,FACEBK *9VZQSRVV62,Professional Services,Sale,-46.50,
06/23/2026,06/24/2026,CL *Chase Travel,Travel,Sale,-396.89,
06/23/2026,06/24/2026,LIDL GB WOOLWICH,Groceries,Sale,-3.04,
06/22/2026,06/23/2026,JOHN LEWIS - PETER JONES,Food & Drink,Sale,-5.46,
06/21/2026,06/22/2026,FACEBK *2WM47S5W62,Professional Services,Sale,-46.49,
06/19/2026,06/21/2026,FACEBK *8VF5GSDV62,Professional Services,Sale,-46.49,
06/20/2026,06/21/2026,GIORDANO,Shopping,Sale,-34.17,
06/20/2026,06/21/2026,Pizza Pilgrims,Food & Drink,Sale,-21.00,
06/20/2026,06/21/2026,DOMINO'S 4317,Food & Drink,Sale,-11.87,
06/20/2026,06/21/2026,SUNOCO 0170904700,Gas,Sale,-30.14,
06/20/2026,06/21/2026,CVS/PHARMACY #02155,Health & Wellness,Sale,-13.24,
06/20/2026,06/21/2026,ROKU INC,Bills & Utilities,Sale,-42.39,
06/18/2026,06/19/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.28,
06/18/2026,06/19/2026,SAINSBURYS S/MKTS,Groceries,Sale,-12.77,
06/17/2026,06/18/2026,FACEBK *C3UZ7SZV62,Professional Services,Sale,-46.49,
06/18/2026,06/18/2026,DD *DOORDASH RESTAURAN,Food & Drink,Return,3.49,
06/16/2026,06/17/2026,ALHAMBRA CYBERPAC,Entertainment,Sale,-51.77,
06/15/2026,06/16/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.18,
06/15/2026,06/16/2026,FACEBK *2TEBWSMV62,Professional Services,Sale,-46.48,
06/14/2026,06/16/2026,TRADER JOE S #646,Groceries,Sale,-42.59,
06/13/2026,06/14/2026,TARGET.COM  *,Shopping,Sale,-31.84,
06/12/2026,06/14/2026,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-25.49,
06/13/2026,06/14/2026,FACEBK *6UNZJQVV62,Professional Services,Sale,-46.48,
06/11/2026,06/12/2026,TESCO STORES 6785,Groceries,Sale,-8.24,
06/10/2026,06/11/2026,FACEBK *QWGX8QVV62,Professional Services,Sale,-46.47,
06/10/2026,06/10/2026,ANTHROPIC* CLAUDE SUB,Shopping,Sale,-20.00,
06/07/2026,06/08/2026,GAP OUTLET US 7716,Shopping,Sale,-79.99,
06/07/2026,06/08/2026,TST* NAZ'S HALAL FOOD - C,Food & Drink,Sale,-1.64,
06/07/2026,06/08/2026,PRET A MANGER,Food & Drink,Sale,-6.72,
06/06/2026,06/07/2026,FACEBK *VYYQ5TRV62,Professional Services,Sale,-46.47,
06/05/2026,06/07/2026,CAFFE NERO SLOANE SQUARE,Food & Drink,Sale,-3.91,
06/07/2026,06/07/2026,FACEBK *MQMK9TRV62,Professional Services,Sale,-6.78,
06/05/2026,06/07/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.86,
06/04/2026,06/05/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.28,
06/01/2026,06/02/2026,DC PARK*METER SINGLE,Bills & Utilities,Sale,-2.25,
05/31/2026,06/02/2026,EINSTEIN BROS BAGELS1485,Food & Drink,Sale,-24.28,
06/01/2026,06/02/2026,FEDEX OFFICE 1823 BCBK,Personal,Sale,-1.50,
06/01/2026,06/02/2026,FEDEX OFFICE 1823 BCBK,Personal,Sale,-6.02,
05/31/2026,06/02/2026,TRADER JOE S #646,Groceries,Sale,-20.95,
06/01/2026,06/02/2026,FACEBK *5LUUDPDW62,Professional Services,Sale,-46.45,
06/01/2026,06/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,1210.27,
05/29/2026,05/31/2026,7-ELEVEN 10653,Gas,Sale,-37.88,
05/30/2026,05/31/2026,TWAINGPT,Personal,Sale,-10.41,
05/29/2026,05/31/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-2.31,
05/28/2026,05/29/2026,TESCO STORES 6785,Groceries,Sale,-10.13,
05/28/2026,05/29/2026,FACEBK *XLRCPQMV62,Professional Services,Sale,-46.45,
05/27/2026,05/29/2026,TST*KANOON,Food & Drink,Sale,-191.41,
05/26/2026,05/27/2026,DC PARK*METER SINGLE,Bills & Utilities,Sale,-2.50,
05/25/2026,05/26/2026,SQ *TIFFIN HUT,Food & Drink,Sale,-80.89,
05/23/2026,05/25/2026,UBER   *TRIP,Travel,Sale,-24.14,
05/24/2026,05/25/2026,FACEBK *6ESM9PZV62,Professional Services,Sale,-46.45,
05/21/2026,05/24/2026,TST*KARAHI BOYS STERLING,Food & Drink,Sale,-60.88,
05/22/2026,05/24/2026,7-ELEVEN 10653,Gas,Sale,-50.48,
05/23/2026,05/24/2026,QANTAS AIR  0812387845537,Travel,Sale,-86.65,
05/21/2026,05/22/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.28,
05/22/2026,05/22/2026,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-30.93,
05/19/2026,05/20/2026,FACEBK *33DTLMVV62,Professional Services,Sale,-46.43,
05/19/2026,05/19/2026,DELIVEROO,Food & Drink,Sale,-20.45,
05/18/2026,05/19/2026,EXXON HOTTLE'S SERVICE,Gas,Sale,-44.35,
05/19/2026,05/19/2026,DHAN NAPA THAI LLC,Food & Drink,Sale,-41.73,
05/18/2026,05/19/2026,KROGER #404,Groceries,Sale,-7.55,
05/15/2026,05/17/2026,LYFT   *1 RIDE 05-14,Travel,Sale,-20.87,
05/15/2026,05/17/2026,FACEBK *JU2W8M9W62,Professional Services,Sale,-46.43,
05/13/2026,05/15/2026,IN-N-OUT REDWOOD CITY,Food & Drink,Sale,-17.69,
05/14/2026,05/15/2026,UBER   *TRIP,Travel,Sale,-27.70,
05/14/2026,05/15/2026,TST* GREEN BEANS COFFEE -,Food & Drink,Sale,-6.26,
05/14/2026,05/15/2026,COSTCO WHSE #0334,Shopping,Sale,-86.42,
05/12/2026,05/14/2026,IN-N-OUT REDWOOD CITY,Food & Drink,Sale,-10.55,
05/13/2026,05/14/2026,DD *DOORDASH HAPPYDONU,Food & Drink,Sale,-17.51,
05/13/2026,05/14/2026,UBER   *TRIP,Travel,Sale,-13.95,
05/13/2026,05/13/2026,FACEBK *MHVY4NMR52,Professional Services,Sale,-7.86,
05/13/2026,05/13/2026,UBER   *TRIP,Travel,Sale,-9.94,
05/11/2026,05/13/2026,TST*PROPOSITION CHICKEN,Food & Drink,Sale,-21.81,
05/12/2026,05/13/2026,UBER   *TRIP,Travel,Sale,-37.55,
05/11/2026,05/12/2026,FACEBK *96K6QMZV62,Professional Services,Sale,-46.42,
05/11/2026,05/12/2026,CLERKENWELL GREEN (BENUGO,Food & Drink,Sale,-3.00,
05/10/2026,05/11/2026,ESSAHLI FOODS,Food & Drink,Sale,-13.64,
05/10/2026,05/11/2026,TOWN BARBERSHOP,Personal,Sale,-25.00,
05/10/2026,05/11/2026,TST*K-WINGS KOREAN STYLE,Food & Drink,Sale,-2.20,
05/09/2026,05/10/2026,PREMIUM PARKING,Travel,Sale,-15.99,
05/10/2026,05/10/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
05/08/2026,05/08/2026,AIRBNB * HMA4XMPMYA,Travel,Sale,-114.86,
05/07/2026,05/08/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.43,
05/06/2026,05/07/2026,FACEBK *5HBFMMVR52,Professional Services,Sale,-10.00,
05/06/2026,05/07/2026,FACEBK *JMDA4L9R52,Professional Services,Sale,-10.00,
05/05/2026,05/06/2026,FACEBK *YJX5YK9R52,Professional Services,Sale,-10.00,
05/06/2026,05/06/2026,FACEBK *N49Q8NZR52,Professional Services,Sale,-10.00,
05/05/2026,05/06/2026,FACEBK *CR6B8MMR52,Professional Services,Sale,-10.00,
05/05/2026,05/06/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.43,
05/04/2026,05/06/2026,TST*KARAHI BOYS STERLING,Food & Drink,Sale,-37.05,
05/05/2026,05/05/2026,FACEBK *CTEP4NZR52,Professional Services,Sale,-10.00,
05/04/2026,05/05/2026,FACEBK *VW7VQL5R52,Professional Services,Sale,-10.00,
05/03/2026,05/04/2026,FACEBK *VX2PUK5S52,Professional Services,Sale,-10.00,
05/03/2026,05/04/2026,HARRIS TEETER #0085,Groceries,Sale,-3.54,
05/02/2026,05/04/2026,TST*DC COMEDY LOFT,Food & Drink,Sale,-19.35,
05/03/2026,05/04/2026,FACEBK *VHQ2WK5S52,Professional Services,Sale,-10.00,
05/03/2026,05/04/2026,FACEBK *EYSVULHR52,Professional Services,Sale,-10.00,
05/03/2026,05/04/2026,JAPOMEN,Food & Drink,Sale,-64.39,
05/01/2026,05/03/2026,FACEBK *QML5RMZR52,Professional Services,Sale,-10.00,
05/02/2026,05/03/2026,FACEBK *ESH9RK5S52,Professional Services,Sale,-10.00,
05/02/2026,05/03/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.84,
05/02/2026,05/03/2026,FACEBK *42A2VMZR52,Professional Services,Sale,-10.00,
05/01/2026,05/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,1685.00,
04/30/2026,05/01/2026,FACEBK *4A877LRR52,Professional Services,Sale,-10.00,
04/30/2026,05/01/2026,FACEBK *ANKM5LRR52,Professional Services,Sale,-10.00,
05/01/2026,05/01/2026,FACEBK *W7VYPMZR52,Professional Services,Sale,-10.00,
04/29/2026,04/30/2026,FACEBK *YHW4JMZR52,Professional Services,Sale,-10.00,
04/29/2026,04/30/2026,SQ *BUNS FROM HOME - SLOA,Groceries,Sale,-7.37,
04/28/2026,04/29/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-0.54,
04/29/2026,04/29/2026,FACEBK *W8D5CLHR52,Professional Services,Sale,-10.00,
04/28/2026,04/29/2026,FACEBK *GTLT3L5R52,Professional Services,Sale,-10.00,
04/27/2026,04/28/2026,FACEBK *N2D9TKRR52,Professional Services,Sale,-10.00,
04/27/2026,04/28/2026,FACEBK *5FW75K9R52,Professional Services,Sale,-10.00,
04/24/2026,04/26/2026,PYD*Yellowladdercoffee,Food & Drink,Sale,-11.22,
04/24/2026,04/26/2026,JWD Lamian Noodle Bar,Food & Drink,Sale,-40.03,
04/23/2026,04/24/2026,DD *DOORDASH RESTAURAN,Food & Drink,Sale,-27.97,
04/17/2026,04/19/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-17.61,
04/15/2026,04/16/2026,SQ *L GEMM,Shopping,Sale,-20.37,
04/15/2026,04/16/2026,FACEBK *2HW2WH5S52,Professional Services,Sale,-10.00,
04/15/2026,04/16/2026,FACEBK *Q6L4TH9R52,Professional Services,Sale,-10.00,
04/14/2026,04/15/2026,Offer:WHOOP,Fees & Adjustments,Adjustment,100.00,
04/14/2026,04/15/2026,FACEBK *UU9UUKZR52,Professional Services,Sale,-10.00,
04/14/2026,04/15/2026,FACEBK *M6L7TKZR52,Professional Services,Sale,-10.00,
04/13/2026,04/14/2026,PYD*Yellowladdercoffee,Food & Drink,Sale,-10.18,
04/13/2026,04/14/2026,FACEBK *8WGFBJRR52,Professional Services,Sale,-10.00,
04/11/2026,04/13/2026,TOWN BARBERSHOP,Personal,Sale,-27.00,
04/11/2026,04/13/2026,AMTRAK .COM 1010663550851,Travel,Sale,-278.00,
04/13/2026,04/13/2026,FACEBK *7JDYEJ5R52,Professional Services,Sale,-5.39,
04/12/2026,04/13/2026,FACEBK *CZD73KVR52,Professional Services,Sale,-10.00,
04/12/2026,04/12/2026,FACEBK *ENJNJJHR52,Professional Services,Sale,-10.00,
04/10/2026,04/12/2026,FACEBK *TWJ56J5R52,Professional Services,Sale,-10.00,
04/11/2026,04/12/2026,FACEBK *WPUZ4JRR52,Professional Services,Sale,-10.00,
04/11/2026,04/12/2026,WHOOP,Shopping,Sale,-166.93,
04/10/2026,04/12/2026,FACEBK *N7Y9GKZR52,Professional Services,Sale,-10.00,
04/10/2026,04/10/2026,CLAUDE.AI SUBSCRIPTION,Shopping,Sale,-20.00,
04/08/2026,04/10/2026,TST*SOFTSPOT,Food & Drink,Sale,-22.83,
04/09/2026,04/10/2026,FACEBK *DFBHRJVR52,Professional Services,Sale,-10.00,
04/08/2026,04/09/2026,FACEBK *FGNP3H9R52,Professional Services,Sale,-10.00,
04/08/2026,04/09/2026,FACEBK *AB6H5H9R52,Professional Services,Sale,-10.00,
04/07/2026,04/08/2026,UNITED BUTCHERS LTD,Groceries,Sale,-19.44,
04/07/2026,04/08/2026,FACEBK *K4Z36H5S52,Professional Services,Sale,-10.00,
04/06/2026,04/07/2026,FACEBK *MJXJRH5R52,Professional Services,Sale,-10.00,
04/06/2026,04/07/2026,FACEBK *ARY5NHRR52,Professional Services,Sale,-10.00,
04/07/2026,04/07/2026,FACEBK *5YR9TGDR52,Professional Services,Sale,-10.00,
04/06/2026,04/07/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-2.19,
04/05/2026,04/06/2026,LIDL #1589,Groceries,Sale,-20.29,
04/05/2026,04/06/2026,GREENWICH PARK,Food & Drink,Sale,-6.96,
04/05/2026,04/06/2026,SQ *COLDSPOON COFFEE,Food & Drink,Sale,-7.37,
04/05/2026,04/06/2026,FACEBK *M59ZJHRR52,Professional Services,Sale,-10.00,
04/05/2026,04/06/2026,FACEBK *4JHHMGDR52,Professional Services,Sale,-10.00,
04/04/2026,04/05/2026,FACEBK *V46ZUG5S52,Professional Services,Sale,-10.00,
04/03/2026,04/05/2026,FACEBK *PN37QJZR52,Professional Services,Sale,-10.00,
04/03/2026,04/05/2026,MARKS&amp;SPENCER PLC SACA,Groceries,Sale,-7.86,
04/03/2026,04/05/2026,PYD*Yellowladdercoffee,Food & Drink,Sale,-5.86,
04/03/2026,04/05/2026,7-ELEVEN 10653,Gas,Sale,-35.74,
04/04/2026,04/05/2026,FACEBK *76S9TG5S52,Professional Services,Sale,-10.00,
04/02/2026,04/03/2026,HALAL ADDYS LLC,Groceries,Sale,-81.90,
04/01/2026,04/03/2026,UBER   *EATS,Food & Drink,Sale,-34.79,
04/02/2026,04/03/2026,FACEBK *4PU22JVR52,Professional Services,Sale,-10.00,
04/01/2026,04/02/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-11.28,
04/01/2026,04/02/2026,BALLSTON CAFE INC,Groceries,Sale,-11.09,
04/01/2026,04/02/2026,FACEBK *Z4VCFHHR52,Professional Services,Sale,-10.00,
04/01/2026,04/01/2026,AUTOMATIC PAYMENT - THANK,,Payment,253.95,
03/31/2026,04/01/2026,UBER   *TRIP,Travel,Sale,-27.82,
03/30/2026,04/01/2026,UBER   *TRIP,Travel,Sale,-21.55,
03/31/2026,04/01/2026,FACEBK *B5FNHHMR52,Professional Services,Sale,-10.00,
03/29/2026,03/31/2026,SJU AIRPORT CONV STORE -,Groceries,Sale,-5.46,
03/30/2026,03/31/2026,FACEBK *9E4MEHMR52,Professional Services,Sale,-10.00,
03/27/2026,03/31/2026,PLAZA LOIZA NORTE SH,Groceries,Sale,-4.33,
03/29/2026,03/31/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-7.94,
03/28/2026,03/30/2026,DOS LOBOS VSJ,Food & Drink,Sale,-15.89,
03/29/2026,03/30/2026,UBER   *TRIP,Travel,Sale,-11.03,
03/29/2026,03/30/2026,UBER *TRIP HELP.UBER.COM,Travel,Sale,-9.29,
03/28/2026,03/30/2026,PUERTO RICO DRUG SI,Health & Wellness,Sale,-5.04,
03/29/2026,03/30/2026,GAIL'S WOOLWICH,Food & Drink,Sale,-4.27,
03/29/2026,03/30/2026,UBER   *TRIP,Travel,Sale,-1.34,
03/29/2026,03/30/2026,FACEBK *AV996HHR52,Professional Services,Sale,-10.00,
03/28/2026,03/30/2026,FRONTIER AI FHKWTT,Travel,Sale,-69.00,
03/28/2026,03/29/2026,PYD*Yellowladdercoffee,Food & Drink,Sale,-10.08,
03/28/2026,03/29/2026,FACEBK *9RAN3HHR52,Professional Services,Sale,-10.00,
03/27/2026,03/29/2026,FACEBK *WZM56HMR52,Professional Services,Sale,-10.00,
03/27/2026,03/29/2026,PAR*YAGRUMO RESTOBAR,Food & Drink,Sale,-20.33,
03/28/2026,03/29/2026,UBER   *TRIP,Travel,Sale,-7.95,
03/27/2026,03/29/2026,COUNTER SOLUTIONS HOLDING,Groceries,Sale,-1.23,
03/28/2026,03/29/2026,UBER   *TRIP,Travel,Sale,-6.95,
03/26/2026,03/27/2026,FACEBK *HYYVLFDR52,Professional Services,Sale,-10.00,
03/27/2026,03/27/2026,LYFT   *RIDE THU 3PM,Travel,Sale,-13.30,
03/25/2026,03/27/2026,UBER   *EATS,Food & Drink,Sale,-36.62,
03/26/2026,03/27/2026,LYFT   *1 RIDE 03-25,Travel,Sale,-40.79,
03/25/2026,03/26/2026,ELDA KEF 5021002,Food & Drink,Sale,-2.49,
03/25/2026,03/25/2026,FACEBK *WUZ7HG5R52,Professional Services,Sale,-10.00,
03/24/2026,03/25/2026,EXTREME PITA 50403,Food & Drink,Sale,-18.65,
03/24/2026,03/24/2026,FACEBK *2JPZ8GRR52,Professional Services,Sale,-10.00,
03/23/2026,03/24/2026,FACEBK *X5TKAFDR52,Professional Services,Sale,-10.00,
03/23/2026,03/24/2026,HARRIS TEETER #0085,Groceries,Sale,-10.08,
03/22/2026,03/23/2026,HARRIS TEETER #0085,Groceries,Sale,-12.60,
03/21/2026,03/23/2026,7-ELEVEN 10653,Gas,Sale,-41.05,
03/22/2026,03/23/2026,CHIPOTLE 0517,Food & Drink,Sale,-19.89,
03/21/2026,03/23/2026,TST*MEANWHILE COFFEE LLC,Food & Drink,Sale,-7.43,
03/21/2026,03/23/2026,KHAN K BBQ,Food & Drink,Sale,-138.80,
03/22/2026,03/23/2026,FACEBK *N2ZGFHZR52,Professional Services,Sale,-10.00,
03/20/2026,03/22/2026,DC PARK*METER MULTI,Bills & Utilities,Sale,-2.30,
03/20/2026,03/22/2026,FACEBK *F67AQGVR52,Professional Services,Sale,-10.00,
03/20/2026,03/22/2026,CAFEIN.,Food & Drink,Sale,-7.98,
03/21/2026,03/22/2026,TST* SILVER DINER - TYSON,Food & Drink,Sale,-84.56,
03/21/2026,03/22/2026,FACEBK *WHS56G5R52,Professional Services,Sale,-10.00,
03/21/2026,03/22/2026,VA FAIRFAX PMT,Bills & Utilities,Sale,-138.17,
03/19/2026,03/20/2026,FACEBK *8HS9LGVR52,Professional Services,Sale,-10.00,
03/20/2026,03/20/2026,UBER   *TRIP,Travel,Sale,-9.95,
03/18/2026,03/19/2026,FACEBK *72RVSEDR52,Professional Services,Sale,-10.00,
03/18/2026,03/19/2026,UBER   *TRIP,Travel,Sale,-14.39,
03/17/2026,03/17/2026,FACEBK *TRPGCGVR52,Professional Services,Sale,-10.00,
03/16/2026,03/17/2026,HARRIS TEETER #0085,Groceries,Sale,-15.98,
03/16/2026,03/17/2026,FACEBK *KZ65RE9R52,Professional Services,Sale,-10.00,
03/16/2026,03/17/2026,SQ *MG FOODS,Food & Drink,Sale,-3.17,
03/16/2026,03/17/2026,adidas 6143 Leesburg,Shopping,Sale,-45.06,
03/15/2026,03/16/2026,FACEBK *KPVTJF5R52,Professional Services,Sale,-10.00,
03/13/2026,03/15/2026,TST* BB.Q CHICKEN USA - T,Food & Drink,Sale,-75.92,
03/13/2026,03/15/2026,FACEBK *6T4NCEDR52,Professional Services,Sale,-10.00,
03/14/2026,03/15/2026,PLAYA BOWLS - RESTON,Food & Drink,Sale,-14.30,
03/14/2026,03/15/2026,FACEBK *DCZ5PFHR52,Professional Services,Sale,-10.00,
03/13/2026,03/15/2026,TARGET        00010884,Shopping,Sale,-59.85,
03/15/2026,03/15/2026,DESI BREAKFAST CLUB,Food & Drink,Sale,-118.60,
03/13/2026,03/15/2026,AIRALO,Shopping,Sale,-13.50,
03/14/2026,03/15/2026,HARRIS TEETER #0085,Groceries,Sale,-4.04,
03/12/2026,03/13/2026,ELDA KEF 5021002,Food & Drink,Sale,-16.32,
03/13/2026,03/13/2026,FACEBK *Z3CHAEDR52,Professional Services,Sale,-7.36,
